537.7922394275665 seconds
9.667,2.333
9.375,3.5
7.375,3.5
6.167,3.667
5.708,3.55
4.929,3.09
4.817,3.024
4.222,2.667
3.8,2.311
3.2,1.911
3.067,1.822
2.917,1.722
2.736,1.615
2.65,1.683
2.594,1.739
2.333,2.123
1.87,2.539
1.973,2.907
1.941,2.933
1.617,3.258
1.569,3.472
1.311,3.756
1.409,3.983
1.672,4.542
1.628,4.683
1.697,4.787
1.757,4.868
1.756,4.935
1.77,4.976
1.889,5.333
1.556,5.333
1.095,5.614
1.036,6.518
1.095,5.614
0.664,4.866
0.654,4.719
1.203,4.805
1.756,4.935
1.757,4.868
1.892,4.861
1.971,4.891
2.222,4.949
3.392,5.225
3.722,5.389
5.388,5.776
